,species,body.mass,brain.mass,bearing.mode,trophic.mode,repro.coarse,max.size,habitat,mean.depth
1,Dasyatis_fluviorum,2950,10.46,live-bearing,matrotroph,matrotrophic_lb,93,Shelf,20.5
2,Dasyatis_americana,27500,26.45,live-bearing,matrotroph,matrotrophic_lb,200,Shelf,24.5
3,Dasyatis_brevicaudata,39000,30.339,live-bearing,matrotroph,matrotrophic_lb,210,Deep,265
4,Dasyatis_pastinaca,11210,18.92,live-bearing,matrotroph,matrotrophic_lb,51,Shelf,100.5
5,Dasyatis_thetidis,21000,29.47,live-bearing,matrotroph,matrotrophic_lb,180,Shelf,10
6,Dasyatis_centroura,5660,18.2712,live-bearing,matrotroph,matrotrophic_lb,260,Shelf,75
7,Himantura_fai,11380,40.8,live-bearing,matrotroph,matrotrophic_lb,184,Shelf,10
8,Neotrygon_kuhlii,1285,8.971,live-bearing,matrotroph,matrotrophic_lb,43.5,Shelf,45
9,Pastinachus_atrus,15000,23.32,live-bearing,matrotroph,matrotrophic_lb,200,Shelf,20
10,Taeniura_lymma,800,5.66,live-bearing,matrotroph,matrotrophic_lb,35,Shelf,16
11,Gymnura_australis,2890,3.79,live-bearing,matrotroph,matrotrophic_lb,73,Shelf,25.5
12,Mobula_munkiana,11800,20,live-bearing,matrotroph,matrotrophic_lb,110,Pelagic,7.5
13,Mobula_tarapacana,165000,122,live-bearing,matrotroph,matrotrophic_lb,370,Pelagic,10
14,Mobula_thurstoni,40000,72,live-bearing,matrotroph,matrotrophic_lb,220,Pelagic,50
15,Mobula_japanica,94000,110,live-bearing,matrotroph,matrotrophic_lb,310,Pelagic,50
16,Aetobatus_narinari,12000,22.4,live-bearing,matrotroph,matrotrophic_lb,330,Shelf,40
17,Myliobatis_freminvillii,5430,12.7092,NA,NA,NA,NA,NA,NA
18,Myliobatis_tenuicaudatus,626.3333333,5.090655789,NA,NA,NA,NA,NA,NA
19,Potamotrygon_motoro,630,4.51,live-bearing,matrotroph,matrotrophic_lb,45,Freshwater,5
20,Trygonoptera_testacea,1100,3.564,live-bearing,matrotroph,matrotrophic_lb,34,Shelf,60
21,Urolophus_cruciatus,705.9,2.453,live-bearing,matrotroph,matrotrophic_lb,44.26,Shelf,79.5
22,Urolophus_bucculentus,1375,7.0345,live-bearing,matrotroph,matrotrophic_lb,66,Shelf,165
23,Anacanthobatis_marmoratus,80,0.6,NA,NA,NA,NA,NA,NA
24,Bathyraja_spinicauda,17200,4.68,egg-laying,lecithotroph,egg-laying,182,Deep,1325
25,Amblyraja_radiata,1205,2.2315,egg-laying,lecithotroph,egg-laying,105,Deep,460
26,Amblyraja_hyperborea,2490,2.64,egg-laying,lecithotroph,egg-laying,106,Deep,1900
27,Dentiraja_lemprieri,491.9333333,1.405812383,egg-laying,lecithotroph,egg-laying,55,Shelf,20
28,Dipturus_polyommata,220,0.875,NA,NA,NA,NA,NA,NA
29,Dipturus_confusus,1400,2.433,egg-laying,lecithotroph,egg-laying,66.8,Shelf,204
30,Dipturus_innominatus,1499.333333,2.103333333,egg-laying,lecithotroph,egg-laying,138,Deep,662.5
31,Dipturus_nidarosiensis,9000,7.376,NA,NA,NA,NA,NA,NA
32,Dipturus_canutus,2850,4.294,NA,NA,NA,NA,NA,NA
33,Dipturus_gudgeri,2133.333,3.221,egg-laying,lecithotroph,egg-laying,185,Deep,475
34,Leucoraja_naevus,1200,1.979,egg-laying,lecithotroph,egg-laying,72,Deep,200
35,Leucoraja_fullonica,3400,4.62,egg-laying,lecithotroph,egg-laying,105,Deep,200
36,Leucoraja_circularis,2710,3.613,egg-laying,lecithotroph,egg-laying,120,Deep,425
